                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1171,                 4.1806,                 1.8728,                0.55527,                0.03571,                0.02344,                0.01059,                 3.8055,                 8.1019,                  2.452,              0.0002125,              0.0002125,              0.0002125
                      2,                 1.7683,                 3.1512,                 1.5648,                0.67571,                0.08694,                0.12881,                0.07458,                 2.4167,                  5.291,                 1.7822,             0.00041584,             0.00041584,             0.00041584
                      3,                 1.6265,                 2.8929,                 1.4476,                0.52866,                0.20743,                0.28793,                 0.1432,                 1.7001,                 4.0659,                 1.4345,             0.00059691,             0.00059691,             0.00059691
                      4,                 1.5331,                 2.7031,                 1.3472,                0.66151,                0.32304,                0.38832,                0.20744,                 1.5025,                 3.7134,                  1.223,             0.00075571,             0.00075571,             0.00075571
                      5,                 1.5032,                 2.4832,                 1.3181,                 0.6664,                 0.3755,                0.39872,                0.22036,                 1.4626,                 3.6439,                 1.1874,             0.00089223,             0.00089223,             0.00089223
                      6,                  1.426,                 2.4841,                 1.2628,                0.66616,                0.40397,                0.43704,                0.27053,                 1.3375,                 3.6613,                  1.143,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.5062,                 2.2626,                 1.3194,                0.66069,                0.40463,                0.46856,                 0.2947,                 1.3247,                 3.1862,                 1.1179,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.4453,                 2.1233,                 1.2938,                0.61139,                0.41667,                0.48242,                0.30785,                 1.3363,                 2.7207,                 1.1338,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.3376,                 1.8584,                 1.2263,                0.70125,                0.37632,                0.48344,                0.30494,                 1.4283,                 2.5587,                 1.1563,               0.000755,               0.000755,               0.000755
                     10,                 1.3443,                 2.0295,                 1.2696,                0.74288,                0.41667,                0.50116,                0.27404,                 1.3567,                 2.3252,                 1.1253,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.2159,                 2.0449,                 1.1892,                0.95157,                  0.375,                0.46818,                0.28314,                  1.282,                 2.3635,                 1.1046,             0.00063125,             0.00063125,             0.00063125
                     12,                  1.214,                 2.0919,                 1.1588,                0.80205,                0.45089,                0.52488,                0.31941,                 1.3139,                 2.5499,                 1.0962,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.2319,                 2.0247,                 1.1665,                0.92162,                0.45833,                0.54269,                0.33239,                 1.3504,                 2.6808,                  1.088,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.1468,                  1.862,                 1.1588,                0.90428,                0.45102,                0.57081,                0.34628,                 1.3254,                 2.5314,                 1.0609,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.1737,                 1.8378,                 1.1463,                0.81364,                0.45833,                0.56987,                0.34648,                 1.2832,                 2.4515,                 1.0516,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.1152,                  1.779,                 1.1384,                 0.8016,                0.45833,                0.56672,                0.33733,                 1.2463,                 2.3945,                 1.0467,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.1176,                 1.7423,                 1.1311,                0.78242,                0.45833,                0.57814,                0.33957,                 1.2161,                 2.2332,                 1.0512,                0.00026,                0.00026,                0.00026
                     18,                 1.0958,                 1.7001,                 1.0949,                0.69559,                0.50631,                0.59662,                0.35135,                 1.2358,                 2.1247,                 1.0586,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.0963,                 1.7075,                 1.1162,                0.73137,                0.57585,                0.60009,                0.35447,                 1.2466,                 2.0917,                 1.0647,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.0324,                 1.6642,                 1.0968,                0.73245,                0.58697,                0.59989,                0.35888,                 1.2402,                  2.042,                 1.0625,             7.4375e-05,             7.4375e-05,             7.4375e-05
